date,time_or_status,home_team,away_team,match_id,home_score,away_score,home_odds,draw_odds,away_odds
"Tuesday, Oct 01 2024",FT,Salzburg,Brest,1866220,0,4,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,VfB Stuttgart,Sparta Prague,1866237,1,1,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,PSV Eindhoven,Sporting CP,1866209,1,1,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,Arsenal,Paris Saint-Germain,1866166,2,0,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,Slovan Bratislava,Manchester City,1866104,0,4,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,Inter,FK Crvena Zvezda,1866108,4,0,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,Borussia Dortmund,Celtic,1866131,7,1,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,Barcelona,BSC Young Boys,1866137,5,0,N/A,N/A,N/A
"Tuesday, Oct 01 2024",FT,Bayer Leverkusen,AC Milan,1866154,1,0,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Shakhtar Donetsk,Atalanta,1866172,0,3,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Girona,Feyenoord,1866208,2,3,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Dinamo Zagreb,Monaco,1866218,2,2,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Sturm Graz,Club Bruges,1866196,0,1,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Benfica,Atletico Madrid,1866161,4,0,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Lille,Real Madrid,1866146,1,0,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Liverpool,Bologna,1866152,2,0,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,Aston Villa,Bayern Munich,1866119,1,0,N/A,N/A,N/A
"Wednesday, Oct 02 2024",FT,RB Leipzig,Juventus,1866121,2,3,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,AC Milan,Club Bruges,1866192,3,1,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Monaco,FK Crvena Zvezda,1866226,5,1,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Girona,Slovan Bratislava,1866233,2,0,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Sturm Graz,Sporting CP,1866212,0,2,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Paris Saint-Germain,PSV Eindhoven,1866167,1,1,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Juventus,VfB Stuttgart,1866180,0,1,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Arsenal,Shakhtar Donetsk,1866187,1,0,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Real Madrid,Borussia Dortmund,1866127,5,2,N/A,N/A,N/A
"Tuesday, Oct 22 2024",FT,Aston Villa,Bologna,1866238,2,0,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,Brest,Bayer Leverkusen,1866159,1,1,N/A,N/A,N/A
"Wednesday, Oct 23 2024",N/A,Atalanta,Celtic,1866173,0,0,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,Manchester City,Sparta Prague,1866103,5,0,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,Benfica,Feyenoord,1866184,1,3,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,Salzburg,Dinamo Zagreb,1866217,0,2,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,Atletico Madrid,Lille,1866162,1,3,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,RB Leipzig,Liverpool,1866120,0,1,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,BSC Young Boys,Inter,1866110,0,1,N/A,N/A,N/A
"Wednesday, Oct 23 2024",FT,Barcelona,Bayern Munich,1866113,4,1,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,PSV Eindhoven,Girona,1866214,4,0,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Slovan Bratislava,Dinamo Zagreb,1866219,1,4,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Bologna,Monaco,1866235,0,1,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Sporting CP,Manchester City,1866102,4,1,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Celtic,RB Leipzig,1866124,3,1,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Borussia Dortmund,Sturm Graz,1866133,1,0,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Real Madrid,AC Milan,1866143,1,3,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Liverpool,Bayer Leverkusen,1866148,4,0,N/A,N/A,N/A
"Tuesday, Nov 05 2024",FT,Lille,Juventus,1866181,1,1,N/A,N/A,N/A
"Wednesday, Nov 06 2024",17:45,Club Bruges,Aston Villa,1866195,-,-,3.25,3.50,2.15
"Wednesday, Nov 06 2024",17:45,Shakhtar Donetsk,BSC Young Boys,1866197,-,-,2.00,3.50,3.70
"Wednesday, Nov 06 2024",20:00,Paris Saint-Germain,Atletico Madrid,1866160,-,-,1.67,3.70,5.25
"Wednesday, Nov 06 2024",20:00,VfB Stuttgart,Atalanta,1866176,-,-,2.38,3.75,2.70
"Wednesday, Nov 06 2024",20:00,Inter,Arsenal,1866106,-,-,2.70,3.10,2.80
"Wednesday, Nov 06 2024",20:00,Bayern Munich,Benfica,1866114,-,-,1.29,6.25,9.00
