,Team_Name,Goals_Scored,xG,xGOT,Total_Shots,Shots_On_Target,BigChances,BigChances_Missed,xG_per_Shot,Average_Shot_Distance,Possession_%,Field_Tilt_%,Total_Passes,Accurate_Passes,Longballs,Accurate_Longballs,Corners,Avg.GoalKick_Length,Tackles,Tackles_Won,Interceptions,Clearances,Aerial_Duels,Aerial_Duels_Won,Passes_Per_Defensive_Actions(PPDA),Average_Passes_Per_Sequences,10+_Passing_Sequences,Defense_Line_Height,Vericality_%,Most_pass_combination_from,Most_pass_combination_to,Most_passes_in_combination,Average_Defensive_Action_Height,Forward_Line_Pressing_Height,Total_Progressive_Passes,Progressive_Passes_From_Left,Progressive_Passes_From_Center,Progressive_Passes_From_Right,Total_Progressive_Carries,Progressive_Carries_From_Left,Progressive_Carries_From_Center,Progressive_Carries_From_Right,Shots_Saved,Big_Chance_Saved,Goals_Prevented,xT,Total_Final_Third_Entries,Final_Third_Entries_From_Left,Final_Third_Entries_From_Center,Final_Third_Entries_From_Right,Entry_By_Pass,Entry_By_Carry,Total_Passes_Into_Zone14,Passes_Into_Halfspaces,Passes_Into_Left_Halfspaces,Passes_Into_Right_Halfspaces,Total_Chances_Created,Total_Box_Entries,Box_Entry_From_Left,Box_Entry_From_Center,Box_Entry_From_Right,Total_Cross,Successful_Cross,Unsuccessful_Cross,Cross_From_LeftWing,Cross_From_RightWing,Total_High_Turnovers,Shot_Ending_High_Turnovers,Goal_Ending_High_Turnovers,Opponent_Team_Name
0,Chelsea,0,1.01,0.7,10,3,1,1,0.1,17.25,48.18,48.39,529,461,39,20,4,13.32,20,14,10,13,8,3,8.39,8.0,21,30.48,43.96,Marc Cucurella,Enzo Fernandez,27,41.93,68.09,57,25,16,16,15,7,2,6,3,1,0.7,1.05,40,14,15,11,34,6,21,51,32,19,9,13,3,3,7,15,5,10,7,8,8,0,0,Man City
1,Man City,2,0.77,0.82,11,5,1,0,0.08,18.8,51.82,51.61,569,501,37,19,3,27.2,16,9,10,18,8,5,11.23,9.0,21,34.6,42.31,Ruben Dias,Josko Gvardiol,37,39.07,57.23,39,19,8,12,43,22,4,17,3,0,-1.18,1.06,54,26,6,22,30,24,7,40,18,22,8,17,6,3,8,9,1,8,6,3,7,1,0,Chelsea
