level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,27,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Watford,Luton,,nan,,,0.0,0.0,,nan,1.0,Watford
1,2,2.0,0.0,0.0,95,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Luton,Watford,,nan,,,0.0,0.0,,nan,1.0,Watford
2,3,3.0,0.0,0.0,27,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.25'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.4'}]","[91, 117, 30, 35, 38, 215, 218]",True,363139.0,31.185000000000002,31.756000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Watford,Luton,8.0,Giorgi Chakvetadze,FW,True,-21.3491012876934,0.0,-173.99015448854942,G. Chakvetadze,1.0,Watford
3,4,3.5,0.0,1.5,27,31.185000000000002,31.756000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,388017.0,35.385000000000005,29.308000000000003,,,,,,4.0,,,,,0.025,,,,3.0,3.0,3.0,3.0,0.01132376,0.01132376,0.0,Watford,Luton,5.0,Ryan Porteous,DC,True,0.0,4.0761617695679035,-30.23607619085647,R. Porteous,1.0,Watford
4,5,4.0,0.0,3.0,27,35.385000000000005,29.308000000000003,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.60'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '47.5'}]","[91, 120, 128, 36, 38, 217, 218]",True,388017.0,72.24,0.0,,,,,,,,,,,0.05,,,,,,,,,,,Watford,Luton,5.0,Ryan Porteous,DC,True,22.558348553043523,0.0,-38.49258114891047,R. Porteous,1.0,Watford
5,6,4.0,0.0,16.0,95,28.665000000000003,68.0,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '35.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.08'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 212, 36, 38, 216]",True,362246.0,63.105000000000004,61.948,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,Luton,Watford,45.0,Alfie Doughty,ML,True,33.203028887167186,0.0,-9.9665956634451,A. Doughty,1.0,Watford
6,7,5.0,0.0,20.0,95,69.09,64.87200000000001,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[91, 63]",True,263188.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Luton,Watford,9.0,Carlton Morris,FW,True,0.0,0.0,,C. Morris,1.0,Watford
7,8,6.0,0.0,20.0,27,35.910000000000004,3.128,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]",[64],False,368493.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Watford,Luton,6.0,Mattie Pollock,DC,True,0.0,0.0,,M. Pollock,1.0,Watford
8,9,6.0,0.0,52.0,95,72.87,63.580000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '95.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.39'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.6'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 138, 124, 126, 36, 38, 217, 218]",True,362246.0,100.065,29.512,,,,,,,,,,,0.8666666666666667,,,,,,,,,,,Luton,Watford,45.0,Alfie Doughty,ML,True,37.002238298472975,0.0,-51.40115778235703,A. Doughty,1.0,Watford
9,10,7.0,0.0,57.0,27,5.25,36.448,0.0,FirstHalf,Claim,Successful,"[{'type': {'value': 88, 'displayName': 'HighClaim'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 93, 104]",True,141468.0,,,,,,,,,,,,,0.95,,,,,,,,,,,Watford,Luton,1.0,Daniel Bachmann,GK,True,0.0,0.0,,D. Bachmann,1.0,Watford
