level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
10,11,11.0,1.0,47.0,27,13.755,39.984,1.0,FirstHalf,KeeperPickup,Successful,[],[93],False,141468.0,,,,,,,,,,,,,1.7833333333333332,,,,,,,,,,,Watford,Luton,1.0,Daniel Bachmann,GK,True,0.0,0.0,,D. Bachmann,1.0,Watford
11,12,12.0,1.0,56.0,27,16.485,31.96,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.05'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '48.3'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 36, 37, 216, 218]",True,141468.0,64.68,34.408,,,,,,,,,,,1.9333333333333333,,,,,,,,,,,Watford,Luton,1.0,Daniel Bachmann,GK,True,48.21644052635513,0.0,2.9077628634962527,D. Bachmann,1.0,Watford
12,13,10.0,1.0,59.0,95,45.464999999999996,34.0,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.96'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 117, 30, 139, 35, 38, 216, 218]",True,100594.0,37.48500000000001,25.432000000000002,,,,,,,,,,,1.9833333333333334,,,,5.0,3.0,4.0,2.0,0.01484598,0.01269174,-0.00215424,Luton,Watford,18.0,Jordan Clark,MC,True,-8.521490131360714,0.0,-132.96496554314007,J. Clark,1.0,Watford
13,14,11.0,2.0,1.0,95,37.589999999999996,25.976000000000003,2.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.15'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.0'}]","[91, 120, 128, 36, 37, 217, 218]",True,33064.0,91.665,34.0,,,,,,,,,,,2.0166666666666666,,,,,,,,,,,Luton,Watford,7.0,Victor Moses,MR,True,54.550879798379285,0.0,8.440331832478593,V. Moses,1.0,Watford
14,15,13.0,2.0,4.0,27,14.28,36.312000000000005,2.0,FirstHalf,KeeperPickup,Successful,[],[93],False,141468.0,,,,,,,,,,,,,2.066666666666667,,,,,,,,,,,Watford,Luton,1.0,Daniel Bachmann,GK,True,0.0,0.0,,D. Bachmann,1.0,Watford
15,16,14.0,2.0,4.0,27,15.645000000000001,35.904,2.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.17'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 36, 38, 215, 218]",True,141468.0,25.41,15.912,,,,,,,,,,,2.066666666666667,,,,1.0,4.0,2.0,1.0,0.01082722,0.00942382,-0.0014034000000000008,Watford,Luton,1.0,Daniel Bachmann,GK,True,7.755776649466526,0.0,-63.96701759254725,D. Bachmann,1.0,Watford
16,17,15.0,2.0,7.0,27,25.41,15.504000000000001,2.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.99'}]","[91, 117, 30, 36, 38, 216, 218]",True,368493.0,49.245,8.364,,,,,,,,,,,2.1166666666666667,,,,2.0,1.0,5.0,0.0,0.00942382,0.01248344,0.0030596200000000007,Watford,Luton,6.0,Mattie Pollock,DC,True,20.34457927609671,0.0,-16.67608506811135,M. Pollock,1.0,Watford
17,18,15.5,2.0,9.0,27,49.245,8.364,2.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,363718.0,47.775,1.972,,,,,,16.0,,,,,2.15,,,,5.0,0.0,5.0,0.0,0.01248344,0.01248344,0.0,Watford,Luton,39.0,Edo Kayembe,MC,True,0.0,-4.211833123030289,-102.9514023754102,E. Kayembe,1.0,Watford
18,19,16.0,2.0,11.0,27,47.775,1.972,2.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.12'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.9'}]","[91, 117, 30, 35, 37, 216, 218]",True,363718.0,37.905,2.176,,,,,,,,,,,2.183333333333333,,,,5.0,0.0,4.0,0.0,0.01248344,0.01126267,-0.0012207699999999995,Watford,Luton,39.0,Edo Kayembe,MC,True,-8.681572565792436,0.0,178.81593971148325,E. Kayembe,1.0,Watford
19,20,17.0,2.0,12.0,27,37.905,2.176,2.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.24'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.7'}]","[91, 120, 29, 36, 37, 216, 218]",True,470676.0,65.83500000000001,8.908000000000001,,,,,,,,,,,2.2,,,,,,,,,,,Watford,Luton,45.0,Ryan Andrews,DMR,True,27.746219836688674,0.0,13.55158299985292,R. Andrews,1.0,Watford
20,21,13.0,2.0,13.0,95,32.025,52.156000000000006,2.0,FirstHalf,BallRecovery,Successful,[],[93],False,403161.0,,,,,,,,,,,,,2.216666666666667,,,,,,,,,,,Luton,Watford,6.0,Mark McGuinness,DC,True,0.0,0.0,,M. McGuinness,2.0,Luton
21,22,14.0,2.0,13.0,95,32.025,52.156000000000006,2.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.59'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '87.2'}]","[91, 117, 30, 36, 37, 216, 218]",True,403161.0,42.63,59.29600000000001,,,,,,,,,,,2.216666666666667,,,,3.0,6.0,4.0,7.0,0.0105949,0.01126267,0.0006677699999999998,Luton,Watford,6.0,Mark McGuinness,DC,True,7.895108599187722,0.0,33.95109432834525,M. McGuinness,2.0,Luton
22,23,15.0,2.0,14.0,95,42.63,59.43200000000001,2.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '0.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '53.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.79'}]","[91, 118, 120, 128, 35, 38, 215, 218]",True,354152.0,0.0,26.996000000000002,,,,,,,,,,,2.2333333333333334,,,,,,,,,,,Luton,Watford,29.0,Tom Holmes,DC,True,-37.877542801947016,0.0,-142.73348706929744,T. Holmes,2.0,Luton
23,24,15.5,2.0,16.0,95,0.0,26.996000000000002,2.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,354152.0,15.33,41.344,,,,,,16.0,,,,,2.2666666666666666,,,,0.0,3.0,1.0,4.0,0.00941056,0.01082722,0.0014166600000000001,Luton,Watford,29.0,Tom Holmes,DC,True,0.0,15.263105522219107,43.10486099838398,T. Holmes,2.0,Luton
24,25,16.0,2.0,18.0,95,15.33,41.344,2.0,FirstHalf,CornerAwarded,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '18'}, {'type': {'value': 73, 'displayName': 'MissLeft'}}]",[122],False,354152.0,,,,,,,,,,,,,2.3,,,,,,,,,,,Luton,Watford,29.0,Tom Holmes,DC,True,0.0,0.0,,T. Holmes,2.0,Luton
25,26,18.0,2.0,18.0,27,89.67000000000002,26.656000000000002,2.0,FirstHalf,CornerAwarded,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '16'}, {'type': {'value': 73, 'displayName': 'MissLeft'}}]",[122],False,470676.0,,,,,,,,,,,,,2.3,,,,,,,,,,,Watford,Luton,45.0,Ryan Andrews,DMR,True,0.0,0.0,,R. Andrews,2.0,Luton
26,27,19.0,2.0,55.0,27,104.47500000000001,67.66000000000001,2.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.57'}, {'type': {'value': 6, 'displayName': 'CornerTaken'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '95.8'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.2'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}]","[91, 137, 124, 126, 31, 33, 34, 35, 38, 217, 218]",True,363139.0,100.59,40.93600000000001,,,,,,,,,,,2.9166666666666665,,,,,,,,,,,Watford,Luton,8.0,Giorgi Chakvetadze,FW,True,25.444836371653068,0.0,-98.27142643611681,G. Chakvetadze,2.0,Luton
27,28,17.0,2.0,58.0,95,9.66,24.888,2.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.82'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.9'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '8.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 94, 95, 57, 215]",True,362246.0,8.4,29.852,,,,,,,,,,,2.966666666666667,,,,,,,,,,,Luton,Watford,45.0,Alfie Doughty,ML,True,0.0,0.0,104.24245962820777,A. Doughty,2.0,Luton
28,29,18.0,3.0,1.0,95,8.61,28.492,3.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '12.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.95'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}]","[91, 94, 95, 57, 215]",True,362145.0,13.545000000000002,8.296,,,,,,,,,,,3.0166666666666666,,,,,,,,,,,Luton,Watford,11.0,Elijah Adebayo,FW,True,0.0,0.0,-76.26855044013165,E. Adebayo,2.0,Luton
29,30,20.0,3.0,6.0,27,85.995,46.03600000000001,3.0,FirstHalf,SavedShot,Successful,"[{'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 215, 'displayName': 'IndividualPlay'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '87.9'}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '48.6'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 25, 'displayName': 'FromCorner'}}, {'type': {'value': 18, 'displayName': 'OutOfBoxCentre'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '19'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '61.4'}, {'type': {'value': 78, 'displayName': 'LowCentre'}}]","[91, 10, 2, 5, 11, 12]",True,363139.0,,,87.9,61.4,19.0,33.048,True,,,,,,3.1,,,,,,,,,,,Watford,Luton,8.0,Giorgi Chakvetadze,FW,True,0.0,0.0,,G. Chakvetadze,2.0,Luton
30,31,19.0,3.0,6.0,95,12.705,26.248,3.0,FirstHalf,Save,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '20'}, {'type': {'value': 94, 'displayName': 'OutfielderBlock'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 58]",True,362145.0,,,,,,,,,,,,,3.1,,,,,,,,,,,Luton,Watford,11.0,Elijah Adebayo,FW,True,0.0,0.0,,E. Adebayo,2.0,Luton
31,32,20.0,3.0,8.0,95,7.3500000000000005,24.888,3.0,FirstHalf,CornerAwarded,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '21'}, {'type': {'value': 73, 'displayName': 'MissLeft'}}]",[122],False,362145.0,,,,,,,,,,,,,3.1333333333333333,,,,,,,,,,,Luton,Watford,11.0,Elijah Adebayo,FW,True,0.0,0.0,,E. Adebayo,2.0,Luton
32,33,21.0,3.0,8.0,27,97.65,43.112,3.0,FirstHalf,CornerAwarded,Successful,"[{'type': {'value': 73, 'displayName': 'MissLeft'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '20'}]",[122],False,363139.0,,,,,,,,,,,,,3.1333333333333333,,,,,,,,,,,Watford,Luton,8.0,Giorgi Chakvetadze,FW,True,0.0,0.0,,G. Chakvetadze,2.0,Luton
33,34,22.0,3.0,42.0,27,104.47500000000001,67.66000000000001,3.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 6, 'displayName': 'CornerTaken'}}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.48'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.8'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '93.0'}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.9'}]","[91, 137, 124, 126, 31, 33, 34, 35, 38, 217, 218]",True,363139.0,97.65,38.692,,,,,,,,,,,3.7,,,,,,,,,,,Watford,Luton,8.0,Giorgi Chakvetadze,FW,True,24.94415340623608,0.0,-103.25738601007075,G. Chakvetadze,2.0,Luton
34,35,21.0,3.0,44.0,95,5.985,26.248,3.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '5.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.69'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 94, 95, 215]",True,362145.0,5.565,8.772,,,,,,,,,,,3.7333333333333334,,,,,,,,,,,Luton,Watford,11.0,Elijah Adebayo,FW,True,0.0,0.0,-91.37672213147867,E. Adebayo,2.0,Luton
35,36,23.0,3.0,51.0,27,94.815,49.64,3.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 11113, 'displayName': 'KeyPass'}}]","[91, 123, 40, 46]",True,363139.0,,,,,,,,,,,,,3.85,,,,,,,,,,,Watford,Luton,8.0,Giorgi Chakvetadze,FW,True,0.0,0.0,,G. Chakvetadze,2.0,Luton
36,37,24.0,3.0,53.0,27,85.365,46.51200000000001,3.0,FirstHalf,SavedShot,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '24'}, {'type': {'value': 18, 'displayName': 'OutOfBoxCentre'}}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '83.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '66.2'}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '51.6'}, {'type': {'value': 328, 'displayName': 'FirstTouch'}}, {'type': {'value': 25, 'displayName': 'FromCorner'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '23'}, {'type': {'value': 78, 'displayName': 'LowCentre'}}]","[91, 10, 2, 5, 11, 13]",True,29595.0,,,83.7,66.2,19.0,35.088,True,23.0,363139.0,,,,3.8833333333333333,,,,,,,,,,,Watford,Luton,17.0,Moussa Sissoko,MC,True,0.0,0.0,,M. Sissoko,2.0,Luton
37,38,24.0,3.0,53.0,95,17.115000000000002,22.983999999999998,3.0,FirstHalf,Save,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '24'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 94, 'displayName': 'OutfielderBlock'}}]","[91, 58]",True,33064.0,,,,,,,,,,,,,3.8833333333333333,,,,,,,,,,,Luton,Watford,7.0,Victor Moses,MR,True,0.0,0.0,,V. Moses,2.0,Luton
38,39,25.0,3.0,54.0,27,91.35000000000001,56.03200000000001,3.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 69]",True,145392.0,,,,,,,,,,,,,3.9,,,,,,,,,,,Watford,Luton,12.0,Ken Sema,DML,True,0.0,0.0,,K. Sema,2.0,Luton
39,40,22.0,3.0,56.0,95,10.920000000000002,12.648000000000001,3.0,FirstHalf,BallRecovery,Successful,[],[93],False,362145.0,,,,,,,,,,,,,3.9333333333333336,,,,,,,,,,,Luton,Watford,11.0,Elijah Adebayo,FW,True,0.0,0.0,,E. Adebayo,2.0,Luton
40,41,23.0,3.0,58.0,95,8.085,10.744000000000002,3.0,FirstHalf,Foul,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '26'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 63]",True,362145.0,,,,,,,,,,,,,3.966666666666667,,,,,,,,,,,Luton,Watford,11.0,Elijah Adebayo,FW,True,0.0,0.0,,E. Adebayo,2.0,Luton
41,42,26.0,3.0,58.0,27,96.915,57.25600000000001,3.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '23'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 13, 'displayName': 'Foul'}}]",[64],False,145392.0,,,,,,,,,,,,,3.966666666666667,,,,,,,,,,,Watford,Luton,12.0,Ken Sema,DML,True,0.0,0.0,,K. Sema,2.0,Luton
